obs_fcst,score_name,score_value
D02 - P00,crps_prob,4.484607637056619
D02 - P00,crps_exp,4.496080535981526
D02 - P00,crps_cutoff,4.607419518528429
D02 - P00,mse_prob,65.06934228275357
D02 - P00,mse_exp,64.48970922772278
D02 - P00,mse_cutoff,63.97547139603959
D02 - P00,es_exp,59.77865305937818
D02 - P00,es_cutoff,58.429893630386005
D02 - P00,fss_prob_t45,1.0
D02 - P00,fss_exp_t45,1.0
D02 - P00,fss_cutoff_t45,1.0
D02 - P00,fss_prob_t55,0.0
D02 - P00,fss_exp_t55,0.0
D02 - P00,fss_cutoff_t55,0.0
D02 - P01,crps_prob,5.841715045839672
D02 - P01,crps_exp,5.898513325206393
D02 - P01,crps_cutoff,6.345331608836561
D02 - P01,mse_prob,65.06923622665938
D02 - P01,mse_exp,63.72698025742572
D02 - P01,mse_cutoff,62.9415996039604
D02 - P01,es_exp,70.681866895289
D02 - P01,es_cutoff,77.45519873433588
D02 - P01,fss_prob_t45,1.0
D02 - P01,fss_exp_t45,1.0
D02 - P01,fss_cutoff_t45,1.0
D02 - P01,fss_prob_t55,0.0
D02 - P01,fss_exp_t55,0.0
D02 - P01,fss_cutoff_t55,0.0
D02 - P10,crps_prob,2.3400248059282958
D02 - P10,crps_exp,2.443982814497666
D02 - P10,crps_cutoff,2.7109056184897766
D02 - P10,mse_prob,0.19162790310505137
D02 - P10,mse_exp,0.2556566138613861
D02 - P10,mse_cutoff,0.34678636633663446
D02 - P10,es_exp,25.186069902383977
D02 - P10,es_cutoff,33.947182198816876
D02 - P10,fss_prob_t45,1.0
D02 - P10,fss_exp_t45,1.0
D02 - P10,fss_cutoff_t45,1.0
D02 - P10,fss_prob_t55,1.0
D02 - P10,fss_exp_t55,1.0
D02 - P10,fss_cutoff_t55,1.0
D02 - P10_25,crps_prob,5.960238891472811
D02 - P10_25,crps_exp,5.981777302054529
D02 - P10_25,crps_cutoff,5.966499251726975
D02 - P10_25,mse_prob,109.52210071837872
D02 - P10_25,mse_exp,110.0443583762376
D02 - P10_25,mse_cutoff,109.65419704950496
D02 - P10_25,es_exp,82.44732739769952
D02 - P10_25,es_cutoff,73.81821882588511
D02 - P10_25,fss_prob_t45,1.0
D02 - P10_25,fss_exp_t45,1.0
D02 - P10_25,fss_cutoff_t45,1.0
D02 - P10_25,fss_prob_t55,0.26969696969696977
D02 - P10_25,fss_exp_t55,0.26969696969696977
D02 - P10_25,fss_cutoff_t55,0.26969696969696977
D02 - P10_50,crps_prob,6.784245107614242
D02 - P10_50,crps_exp,6.80749494048504
D02 - P10_50,crps_cutoff,6.641166968949147
D02 - P10_50,mse_prob,135.0053384085245
D02 - P10_50,mse_exp,136.22447810891092
D02 - P10_50,mse_cutoff,132.79378513861386
D02 - P10_50,es_exp,91.8650175783786
D02 - P10_50,es_cutoff,81.0070907126126
D02 - P10_50,fss_prob_t45,1.0
D02 - P10_50,fss_exp_t45,1.0
D02 - P10_50,fss_cutoff_t45,1.0
D02 - P10_50,fss_prob_t55,0.0
D02 - P10_50,fss_exp_t55,0.0
D02 - P10_50,fss_cutoff_t55,2.220446049250313e-16
D02 - P10_50v,crps_prob,6.79231346885535
D02 - P10_50v,crps_exp,6.692310786033559
